X;Y;Z;Alteration;Au (gr/ton);Ag (gr/ton);Mineralization_d;Mineralization
41359.89722;802990.4539;434.7698059;2;0.80722412;6.0440678;Sulfuro;3
41360.42069;802990.324;434.2363726;2;1.16309604;19.83653484;Sulfuro;3
41360.94423;802990.1933;433.7032267;2;0.69539736;11.87834274;Sulfuro;3
41361.54953;802990.0405;433.0875961;4;0.4993568;4.67839196;Sulfuro;3
41362.17879;802989.88;432.4483315;2;0.27838068;4.22900302;Sulfuro;3
41362.75038;802989.7327;431.868404;2;0.25776436;1.92809668;Sulfuro;3
41363.40939;802989.561;431.2006715;4;0.51720372;9.39166666;Sulfuro;3
41347.65313;802993.6973;440.1337871;5;0.12509092;2.03636364;Mixto;2
41348.07216;802993.5832;439.6965718;2;0.03332492;0.4;Mixto;2
41348.61036;802993.4373;439.1334332;2;0.01482648;0.45047318;Mixto;2
